,Station,Population
218,Mönchengladbach Hbf,
219,Naarden-Bussum,
220,Nieuw Amsterdam,934927.0
221,Nieuw Vennep,17790.0
222,Nieuwerkerk a/d IJssel,
223,Nijkerk,45358.0
224,Nijmegen,187011.0
225,Nijmegen Dukenburg,187011.0
226,Nijmegen Goffert,187011.0
227,Nijmegen Lent,187011.0
228,Noorderkempen,56186.0
229,Nunspeet,29074.0
230,Nürnberg Hbf,
231,Obdam,
232,Oberhausen Hbf,69691.0
233,Offenburg,
234,Oisterwijk,32964.0
235,Oldenzaal,31794.0
236,Olst,
237,Oosterbeek,
238,Oss,94643.0
239,Oss West,94643.0
240,Oudenbosch,
241,Overveen,56581.0
242,PON Leusden,31669.0
243,Paris-Nord,
244,Purmerend,95177.0
245,Purmerend Overwhere,95177.0
246,Purmerend Weidevenne,95177.0
247,Putten,24975.0
248,Ravenstein,
249,Rheden,43656.0
250,Rhenen,20238.0
251,Rijssen,
252,Rijswijk,59640.0
253,Rilland-Bath,
254,Roermond,60749.0
255,Roodeschool,
256,Roosendaal,77566.0
257,Rosmalen,
258,Rotterdam Alexander,671125.0
259,Rotterdam Beurs,671125.0
260,Rotterdam Blaak,671125.0
261,Rotterdam Centraal,671125.0
262,Rotterdam Lombardijen,671125.0
263,Rotterdam Noord,671125.0
264,Rotterdam Stadion,671125.0
265,Rotterdam Zuid,671125.0
266,Santpoort Noord,
267,Sassenheim,
268,Schagen,47734.0
269,Schiedam Centrum,81855.0
270,Schin op Geul,16425.0
271,Schinnen,
272,Schiphol Airport,
273,Sittard,92624.0
274,Sneek,
275,Sneek Noord,
276,Soest,47685.0
277,Soest Zuid,47685.0
278,Spaubeek,
279,Stavoren,
280,Steenwijk,
281,Susteren,
282,Swalmen,
283,Terborg,
284,Tiel,42372.0
285,Tiel Passewaaij,42372.0
286,Tilburg,229797.0
287,Tilburg Reeshof,229797.0
288,Tilburg Universiteit,229797.0
289,Twello,
290,Uitgeest,13407.0
291,Utrecht Centraal,
292,Utrecht Leidsche Rijn,
293,Utrecht Lunetten,
294,Utrecht Maliebaan,
295,Utrecht Overvecht,
296,Utrecht Terwijde,
297,Utrecht Vaartsche Rijn,
298,Utrecht Zuilen,
299,Valkenburg,
300,Veenendaal Centrum,69437.0
301,Veenendaal West,69437.0
302,Veenendaal-De Klomp,69437.0
303,Velp,
304,Venlo,103785.0
305,Venray,44668.0
306,Viersen,69238.0
307,Visé,
308,Vleuten,31669.0
309,Vlissingen,45410.0
310,Vlissingen Souburg,45410.0
311,Voorburg,78246.0
312,Voorhout,
313,Voorschoten,25618.0
314,Vorden,
315,Vught,32348.0
316,Waddinxveen,34000.0
317,Waddinxveen Noord,34000.0
318,Waddinxveen Triangel,34000.0
319,Weert,51060.0
320,Weesp,
321,Wesel,13393.0
322,Wezep,
323,Wien Hbf,
324,Wierden,24929.0
325,Wijchen,41543.0
326,Winterswijk,29235.0
327,Woerden,53730.0
328,Wolfheze,
329,Wolvega,
330,Wormerveer,22067.0
331,Zaandam,
332,Zaandam Kogerveld,
333,Zaltbommel,30418.0
334,Zandvoort aan Zee,17473.0
335,Zevenaar,45050.0
336,Zevenbergen,24498.0
337,Zoetermeer,128424.0
338,Zoetermeer Oost,128424.0
339,Zuidhorn,
340,Zutphen,48746.0
341,Zwijndrecht,44870.0
342,Zwolle,133133.0
