Regio;Inwonersaantal
Nuenen, Gerwen en Nederwetten;24231
Nunspeet;29074
Nuth;
Obdam;
Oegstgeest;25939
Oirschot;19267
Oisterwijk;32964
Oldambt;39421
Oldebroek;24276
Oldenzaal;31794
Olst;
Olst-Wijhe;18843
Ommen;19035
Onderbanken;
Oost Gelre;29971
Oostburg;
Oosterhout;57925
Oostflakkee;
Ooststellingwerf;25825
Oostzaan;9699
Opmeer;12222
Opsterland;30056
Oss;94643
Oud-Beijerland;
Oude IJsselstreek;39396
Ouder-Amstel;14450
Ouderkerk;
Oudewater;10220
Overbetuwe;48909
Papendrecht;32174
Peel en Maas;45551
Pekela;12519
Pijnacker-Nootdorp;57948
Purmerend;95177
Putten;24975
Raalte;38364
Ravenstein;
Reeuwijk;
Reiderland;
Reimerswaal;23325
Renkum;31419
Renswoude;5755
Reusel-De Mierden;13577
Rheden;43656
Rhenen;20238
Ridderkerk;47713
Rijnsburg;
Rijnwaarden;
Rijnwoude;
Rijssen;
Rijssen-Holten;38676
Rijswijk (ZH.);59640
Roerdalen;20806
Roermond;60749
Roggel en Neer;
De Ronde Venen;45812
Roosendaal;77566
Rotterdam;671125
Rozenburg;
Rozendaal;1831
Rucphen;23924
Ruurlo;
Sas van Gent;
Sassenheim;
Schagen;47734
Scheemda;
Schermer;
Scherpenzeel;10344
Schiedam;81855
Schiermonnikoog;971
Schijndel;
Schinnen;
Schipluiden;
Schoonhoven;
Schouwen-Duiveland;34631
Sevenum;
Simpelveld;10252
Sint Anthonis;
Sint-Michielsgestel;30091
Sint-Oedenrode;
Sittard-Geleen;92624
Skarsterlân;
Sliedrecht;26270
Slochteren;
Sluis;23152
Sluis-Aardenburg;
Smallingerland;56654
Sneek;
Soest;47685
Someren;20187
Son en Breugel;17949
Spijkenisse;
Stadskanaal;31993
Staphorst;17738
Stede Broec;22216
Steenbergen;24498
Steenderen;
Steenwijk;
Steenwijkerland;45480
Stein (L.);24748
Stichtse Vecht;65893
Strijen;
Súdwest-Fryslân;90435
Susteren;
Swalmen;
Terneuzen;55128
Terschelling;4899
Texel;13814
Teylingen;38472
Tholen;26864
Thorn;
Tiel;42372
Tilburg;229797
Tubbergen;21393
Twenterand;34071
Tynaarlo;34730
Tytsjerksteradiel;32601
Ubbergen;
Uden;
Uitgeest;13407
Uithoorn;31701
Urk;21929
Utrecht (gemeente);374411
Utrechtse Heuvelrug;50553
Vaals;10120
Valkenburg (ZH.);
Valkenburg aan de Geul;16425
Valkenswaard;31700
Veendam;27517
Veenendaal;69437
Veere;22067
Veghel;
Veldhoven;46826
Velsen;69238
Venhuizen;
Venlo;103785
Venray;44668
Vianen;
Vijfheerenlanden;61650
Vlaardingen;76472
Vlagtwedde;
Vlieland;1258
Vlissingen;45410
Vlist;
Voerendaal;12378
Voorhout;
Voorne aan Zee;74342
Voorschoten;25618
Voorst;25383
Vorden;
Vriezenveen;
Vught;32348
Waadhoeke;46910
Waalre;17995
Waalwijk;50310
Waddinxveen;34000
Wageningen;42616
Warmond;
Warnsveld;
Wassenaar;27108
Wateringen;
Waterland;17529
Weert;51060
Weesp;
Wehl;
Werkendam;
Wervershoof;
West Betuwe;52947
West Maas en Waal;20327
Wester-Koggenland;
Westerkwartier;64893
Westerveld;20000
Westervoort;15152
Westerwolde;26558
Westland;115984
Weststellingwerf;26493
Westvoorne;
Wierden;24929
Wieringen;
Wieringermeer;
Wijchen;41543
Wijdemeren;24608
Wijk bij Duurstede;23953
Winschoten;
Winsum;
Winterswijk;29235
Wisch;
Woensdrecht;22215
Woerden;53730
Wognum;
De Wolden;24582
Wormerland;16560
Woudenberg;14633
Woudrichem;
Wûnseradiel;
Wymbritseradiel;
Zaanstad;161429
Zaltbommel;30418
Zandvoort;17473
Zederik;
Zeevang;
Zeewolde;23883
Zeist;66623
Zelhem;
Zevenaar;45050
Zevenhuizen-Moerkapelle;
Zijpe;
Zoetermeer;128424
Zoeterwoude;9731
Zuidhorn;
Zuidplas;47826
Zundert;22545
Zutphen;48746
Zwartewaterland;23447
Zwijndrecht;44870
Zwolle;133133
