YearMonth,CN,SA,JA,SO,HPI,HDI,LHNI,PA,AA,RA,LPI,weighted_CN,weighted_SA,weighted_JA,weighted_SO,weighted_HPI,weighted_HDI,weighted_LHNI,weighted_PA,weighted_AA,weighted_RA,weighted_LPI,distance,population_source,population_target,gravitational_index,Proportion delayed,Significant Delay,Rides planned,Final arrival delay,Final arrival cancelled,Completely cancelled,Intermediate arrival delays,simultaneous_pred,simultaneous_null
2019-01,4,0.565685424949238,0.3636363636363636,0.5333333333333333,0.8,0.4,0.08,50,1.5018147729159137,0.2894841269841269,1.0326975843504465,4,0.0036364372674504,0.3636363636363636,0.0036363636363636,0.0036596523330283,0.003613369467028,3.305919000025621e-06,1209951,0.5280026056522987,0.0053536667525776,0.1069514820261218,3.0,161825.0,161825.0,2909703402.7777777,0.1285714285714285,False,71,9,1,1,9,0.0,1.0
2019-01,4,0.565685424949238,0.3636363636363636,0.5333333333333333,0.8,0.4,0.08,50,1.5018147729159137,0.2894841269841269,1.0326975843504465,4,0.0036364372674504,0.3636363636363636,0.0036363636363636,0.0036596523330283,0.003613369467028,3.305919000025621e-06,1209951,0.5280026056522987,0.0053536667525776,0.1069514820261219,3.0,161825.0,161825.0,2909703402.7777777,0.1830985915492957,False,72,13,1,1,13,0.0,1.0
2019-01,2,0.2672612419124244,0.1538461538461538,0.2666666666666666,0.2857142857142857,0.25,0.0357142857142857,56,0.71556089596598,0.1285714285714286,0.4852586169625412,2,0.0031677864791272,0.1538461538461538,0.0018682858477347,0.0097087378640776,0.0010335917312661,5.01743558867063e-06,398610,0.2566808041491143,0.0012269340757484,0.0438548947027318,205.0,128857.0,934927.0,2866671.9438191555,0.0625,False,32,2,0,0,13,0.0,1.0
2019-02,2,0.2357022603955158,0.125,0.2222222222222222,0.3333333333333333,0.1666666666666666,0.0277777777777777,72,0.7951647564324791,0.1714285714285714,0.5469953239549306,2,0.0040031076177352,0.125,0.0018717828731867,0.0161290322580645,0.0009935419771485,8.012435299584956e-06,249612,0.241685751513194,0.0007343954271573,0.0342963627924081,80.0,77566.0,114968.0,1393376.2325,1.0,True,10,10,1,0,10,1.0,1.0
2019-03,2,0.2519763153394848,0.0909090909090909,0.1666666666666666,0.6666666666666666,0.0952380952380952,0.0317460317460317,63,0.6860080964331781,0.1127450980392156,0.4601737197373217,2,0.0028912543672012,0.0909090909090909,0.0003498032356799,0.0476190476190476,0.000175546388133,4.179675907930099e-06,478506,0.2344242136124547,0.0005321012602012,0.0297673312072249,94.0,69663.0,56452.0,445067.4146672703,0.0,False,5,0,0,0,0,1.0,0.0
2019-03,1,0.2041241452319315,0.0769230769230769,0.1428571428571428,0.5,0.0833333333333333,0.0416666666666666,24,0.2835784920513334,0.0294117647058823,0.1714985851425088,1,0.0020369006894007,0.0769230769230769,0.0008833922261484,0.0089285714285714,0.0004646840148698,4.148964418481147e-06,241024,0.1041166721472804,6.741724533135576e-05,0.0082108005292636,39.0,77566.0,4855.0,247589.04010519397,0.8,True,10,8,0,0,8,0.0,1.0
2019-03,3,0.273861278752583,0.1304347826086956,0.2307692307692307,0.5,0.15,0.025,120,0.9727109910266252,0.1395308123249299,0.6397164753785012,3,0.002084390573241,0.1304347826086956,0.0010312822275696,0.0078740157480314,0.0005517748758506,1.4482280206053884e-06,2071497,0.334358837775721,0.00045334190034,0.0348465983454981,135.0,671125.0,103402.0,3807718.3676268863,0.2,False,20,4,1,0,12,0.0,1.0
2019-04,2,0.2357022603955158,0.08,0.1481481481481481,0.6666666666666666,0.0833333333333333,0.0277777777777777,72,0.6836960184445731,0.1119047619047619,0.4577059855405162,2,0.0018551231501188,0.08,0.0003479168478733,0.0196078431372549,0.0001755155770074,1.7207409510535237e-06,1162290,0.2352962837291892,0.0005575415750403,0.0303375701366301,94.0,56452.0,69663.0,445067.4146672703,0.0985915492957746,False,71,7,0,0,31,1.0,1.0
2019-04,2,0.2041241452319315,0.1111111111111111,0.2,0.25,0.1666666666666666,0.0208333333333333,96,0.8393770406139756,0.1952380952380952,0.5772791414095664,2,0.003034810521422,0.1111111111111111,0.0017761989342806,0.0093896713615023,0.0009808729769494,4.605037450467066e-06,434307,0.2391567681607245,0.0006768611841265,0.032885009356694,80.0,77566.0,114968.0,1393376.2325,0.5,True,4,2,1,0,4,0.0,0.0
2019-05,4,0.3015113445777636,0.1739130434782608,0.2962962962962963,0.3636363636363636,0.25,0.0227272727272727,176,1.3926060044735178,0.2316239316239316,0.9449736606418748,4,0.0028232898818982,0.1739130434782608,0.0023081361800346,0.0054421768707482,0.0014646649578908,1.992741439307323e-06,2007285,0.4843524280993299,0.0011376142091317,0.0655060941753214,77.0,934927.0,160740.0,25346629.44510036,0.0377358490566037,False,53,2,0,0,3,0.0,1.0
2019-05,1,0.1443375672974064,0.0555555555555555,0.1052631578947368,0.3333333333333333,0.0625,0.0208333333333333,48,0.3898712452512801,0.0769230769230769,0.2773500981126146,1,0.0012326240260165,0.0555555555555555,0.0006729475100942,0.0041493775933609,0.0003661662394727,1.5193619895133637e-06,658171,0.1259296796009018,0.0003558718861209,0.0188645669476136,147.0,47734.0,160740.0,355072.5697625989,0.15,False,40,6,2,0,23,1.0,1.0
